QnA,À propos de la COVID-19,"C'est quoi les probabilités de mourir du COVID-19?",N/A,"Le télétravail est à privilégier. Les gestionnaires et les employés sont invités à faire preuve de souplesse et à considérer tous les accommodements nécessaires si les tâches habituelles de l’employé dont un proche présente un état de santé vulnérable à la COVID-19 incluent la participation à des activités jugées indispensables par la dirigeante ou le dirigeant et qui ne peuvent être accomplies en télétravail. Toutefois, il n’est pas possible de garantir qu’une réaffectation sera offerte pour cette raison. Les employées et employés dont un proche présente un état de santé vulnérable sont invités à appliquer scrupuleusement toutes les mesures de protection mises en place dans le milieu de travail."
QnA,À propos de la COVID-19,Puis-je connaître le pourcentage de cas confirmés de COVID-19 par groupe d’âge au Québec ?,N/A,"en date du 6 juin 2020, 11 h"
QnA,Famille et habitation,"Est-ce qu'un ami peut m'aider à déménager?",N/A,"Quelqu’un peut recevoir chez lui une personne ou un proche qui offre un service essentiel ou prioritaire ou dont le soutien est requis. Toutefois, il convient de faire preuve de prudence et de s’assurer que le service requis ne peut attendre. Par exemple, faire venir un plombier pour une réparation urgente est permis. En contrepartie, il est déconseillé, dans le contexte actuel, de faire appel à un plombier pour des tâches qui peuvent attendre, comme le remplacement d’un évier fonctionnel. Cette recommandation s’applique également aux personnes ou aux proches qui viendraient, par exemple, faire du ménage à domicile. Si le service ou le soutien requis ne peut attendre, les personnes doivent maintenir, dans la mesure du possible, une distance minimale de deux mètres et appliquer les [consignes sanitaires]( ) de base."
QnA,"Sports, loisirs et culture",Pouvons-nous ouvrir les piscines intérieures de copropriétés?,N/A,"Le gouvernement du Québec a annoncé la fermeture des établissements d'hébergement touristique jusqu'à nouvel ordre. Cependant, deux types d'hébergement font exception, soit certains terrains de camping faisant l'accueil de voyageurs n'ayant pas d'autre option de logement et disposant d’installations sanitaires suffisantes, ainsi que les hôtels. Les autres types d'hébergement touristique, tel que les chalets, les résidences secondaires en location, les « Bed & Breakfast » et les auberges doivent être fermés."
QnA,"Commerces, lieux publics et services prioritaires",Comment savoir si mon emploi est prioritaire?,N/A,"Le gouvernement fédéral a annoncé le 25 mars le programme Prestation canadienne d’urgence (PCU), qui représente une aide financière de 2 000 $ par mois pour les travailleurs qui sont victimes de la pandémie de COVID-19. Tous les Canadiens qui ne peuvent plus travailler à cause de la COVID-19, qu’ils soient admissibles ou non à l’assurance‑emploi, y ont droit, notamment : *   Ceux qui ont perdu des revenus à cause de la COVID-19 (dont ceux qui ont toujours un emploi, mais qui ne reçoivent aucun revenu en raison d’interruptions du travail causées par la COVID‑19) *   Ceux qui ont perdu des revenus parce qu’ils sont malades ou en quarantaine. *   Ceux qui ont perdu des revenus parce qu’ils doivent rester à la maison pour s’occuper d’un enfant ou d’une personne atteinte du virus."
QnA,Écoles et éducation,Sous quelles conditions est-ce que les stages de formation sont maintenus?,N/A,"Lorsque les milieux de stage ont confirmé la continuité de leurs services, que les étudiants évoluent dans un endroit où les consignes de la Santé publique sont respectées et que les étudiants peuvent réaliser leur stage, par exemple en recourant au télétravail, les stages sont possibles. Cependant, aucun étudiant ne peut être pénalisé en raison de son incapacité à répondre aux exigences."
QnA,"Commerces, lieux publics et services prioritaires",les kiosques de ventes en libre-service sont-ils ouverts?,N/A,"Dans toutes les régions du Québec, à l’exception de la communauté métropolitaine de Montréal et de la MRC de Joliette, les commerces de vente au détail peuvent ouvrir, y compris ceux situés dans les centres commerciaux. Sur les territoires de la communauté métropolitaine de Montréal et de la MRC de Joliette, les commerces de vente au détail qui exercent des activités ou qui offrent des services jugés prioritaires ainsi que ceux qui disposent d’une porte extérieure habituellement utilisée par la clientèle peuvent ouvrir. La date de réouverture des centres commerciaux situés dans ces régions n’a pas encore été annoncée. Les entreprises de la chaîne d’approvisionnement de ces commerces peuvent également exercer leurs activités."
QnA,Transports et déplacements,covoiturage,N/A,"Ainsi, lorsque tous les membres en conviennent, il n’est pas nécessaire que le moyen utilisé pour le vote secret en préserve entièrement le caractère secret ou permette qu’il puisse être vérifié subséquemment. À défaut d’un tel consensus, le vote secret doit être tenu par tout moyen permettant, à la fois, de recueillir les votes de façon à ce qu’ils puissent être vérifiés subséquemment et d’en préserver le caractère secret. À titre d’exemple, il peut s’agir d’une plateforme de sondage Web créé spécialement à cette fin et sur laquelle les votes peuvent être comptabilisés en conservant l’anonymat des votants. Par contre, l’acheminement des voix à un responsable du vote, par quelque moyen que ce soit, dans lesquels il est possible d’identifier les membres, par exemple un courriel personnel, ne permet pas de préserver le caractère secret."
QnA,Offrir son aide,En quoi puis-je aider pendant le confinement?,N/A,"Les personnes qui sont en isolement doivent rester à la maison, surveiller leurs symptômes et appeler au [1 877 644‑4545](tel:+1-877-644-4545) si elles présentent l’un des symptômes suivants : *   apparition ou aggravation d’une toux; *   [fièvre]( ); *   difficultés respiratoires; *   perte soudaine de l’odorat sans congestion nasale, avec ou sans perte de goût. Certaines pratiques sont recommandées si elles habitent avec d’autres personnes qui n’ont pas voyagé. Pour plus de détails sur les consignes à suivre, se référer à la section [Consignes d'isolement]( )."
QnA,"Sports, loisirs et culture","Centres de conditionnement physique et d’entraînement intérieurs (ex. : entraînement en salle, yoga, cardiovélo, tennis, soccer, etc.)",N/A,"À compter du 8 juin, les activités sportives, de loisir et de plein air individuelles ou collectives qui se déroulent à l’extérieur seront autorisées sous réserve de l’application des principes de distanciation physique et de l’ensemble des recommandations de la Direction générale de la santé publique. Pour l’instant, les sports collectifs devront être pratiqués dans un format « entraînement » seulement, sans contact. Les parties et les compétitions locales pourraient reprendre vers la fin du mois de juin, selon l’évolution de la situation. Des annonces seront faites ultérieurement. Les activités extérieures individuelles et collectives supervisées, comme le yoga et les sorties en plein air guidées, sont aussi permises dès maintenant. Cette phase de réouverture inclut également la tenue de compétitions locales pour les activités individuelles et à deux qui permettent le respect d’une distanciation physique de 2 mètres entre les personnes."
