Type,Source,Question,Reponse
QnA,"Consignes d’isolement, symptômes et traitements",Où peut-on se faire tester?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Une personne qui habite dans la même résidence qu'une personne testée positive doit-elle se placer en quarantaine?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que l'ashtme fait de moi une personne risuant des complicatiosn graves,N/A
QnA,À propos de la COVID-19,Quels médicaments prendre contre la fièvre?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce correct de porter un masque plusieurs jours de suite?,N/A
QnA,Entreprises et main d'oeuvre,J'ai le droit à combien de jours de congé ?,N/A
QnA,Services de santé,Ma soeur vient d'accoucher je peux tu aller lui porter quelque chose à manger à l'hopital?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je devrais contracter la COVID-19 pour en être ensuite protégé?,N/A
QnA,Famille et habitation,Quand les b&b pourront ouvrir à Montréal?,N/A
QnA,Services de santé,"Je veux aller voir un parent en fin de vie mais il habite dans une région fermée, est-ce possible ?",N/A
QnA,"Sports, loisirs et culture",J'ai effectuer une location de chalet cet été en juillet je vais tu être pogné pour annuler ?,N/A
QnA,Transports et déplacements,Est-il permis de faire de la moto?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-il conseillé de laver les articles achetés à l’épicerie pour se débarrasser du coronavirus?,N/A
QnA,Services de garde,Comment peut-on inscrire nos enfants dans les services de garde d'urgence ?,N/A
QnA,À propos de la COVID-19,Règle du gouvernement à suivre,N/A
QnA,Transports et déplacements,Quelle est la procédure si je dois me rendre aux Iles-de-la-Madelaine?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","J'ai plus de 70 ans, est-ce que je suis à risque d'être hospitalisé à cause du virus?",N/A
QnA,"Sports, loisirs et culture",télévisuel,N/A
QnA,"Commerces, lieux publics et services prioritaires",Qu’en est-il des travailleurs qui peuvent faire du télétravail?,N/A
QnA,"Sports, loisirs et culture",pourvoiries,N/A
QnA,"Sports, loisirs et culture",Règlements pourvoirie,N/A
QnA,À propos de la COVID-19,Quel âge ont les gens qui décèdent de la covid?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Je fais quoi pour me mettre en isolement,N/A
QnA,"Commerces, lieux publics et services prioritaires",Je peux tu goûter les aliments au marché public?,N/A
QnA,Transports et déplacements,Est-ce que les haltes routières sont ouvertes?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",est-ce que je peux voir ma blonde,N/A
QnA,Transports et déplacements,Est-ce que je vais me faire rembourser mon voyage en cas d'annulation ?,N/A
QnA,À propos de la COVID-19,Est-ce que la covid est reliée au 5G?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Où dois-je appeler pour dénoncer un rassemblement ?,N/A
QnA,Services de santé,Cours préposé,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller voir mon massothérapeute?,N/A
QnA,Services de santé,C'est tu correct d'apporter de la nourriture pour quelqu'un à l'hôpital?,N/A
QnA,"Sports, loisirs et culture",Quand les terrains de camping pourront-ils rouvrir?,N/A
QnA,Services de santé,Ma grand-mère va mourrir seule si je ne peux pas aller la voir,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je dois laver les colis que je reçois par la poste?,N/A
QnA,Municipalités,Quelle option ont les municipalités ayant adopté une politique de participation publique pour consulter leur monde?,N/A
QnA,Famille et habitation,est-ce que mes enfants peuvent aller voir leur père?,N/A
QnA,À propos de la COVID-19,Pourcentage de cas confirmés par groupe d’âge,N/A
QnA,Transports et déplacements,Quand ouvrira la saaq?,N/A
QnA,"Sports, loisirs et culture",Est-ce que je peux aller courir dans un parc de la sépaq?,N/A
QnA,Transports et déplacements,Puis-je aller en Ontario au mois d'Août?,N/A
QnA,Famille et habitation,est-ce qu'un chat qui est infecté par la covid-19 peut infecter son maître qui le flatte?,N/A
QnA,À propos de la COVID-19,Je cherche une liste des mesures prises par le gouvernement,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Qui doit être testé prioritairement pour la COVID-19?,N/A
QnA,Services de santé,foyers de vieux,N/A
