Question,Bot
"Consignes d’isolement, symptômes et traitements",Où peut-on se faire tester?,N/A
"Consignes d’isolement, symptômes et traitements",Une personne qui habite dans la même résidence qu'une personne testée positive doit-elle se placer en quarantaine?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que l'ashtme fait de moi une personne risuant des complicatiosn graves,N/A
À propos de la COVID-19,Quels médicaments prendre contre la fièvre?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce correct de porter un masque plusieurs jours de suite?,N/A
Entreprises et main d'oeuvre,J'ai le droit à combien de jours de congé ?,N/A
Services de santé,Ma soeur vient d'accoucher je peux tu aller lui porter quelque chose à manger à l'hopital?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je devrais contracter la COVID-19 pour en être ensuite protégé?,N/A
Famille et habitation,Quand les b&b pourront ouvrir à Montréal?,N/A
Services de santé,"Je veux aller voir un parent en fin de vie mais il habite dans une région fermée, est-ce possible ?",N/A
"Sports, loisirs et culture",J'ai effectuer une location de chalet cet été en juillet je vais tu être pogné pour annuler ?,N/A
Transports et déplacements,Est-il permis de faire de la moto?,N/A
"Consignes d’isolement, symptômes et traitements",Est-il conseillé de laver les articles achetés à l’épicerie pour se débarrasser du coronavirus?,N/A
Services de garde,Comment peut-on inscrire nos enfants dans les services de garde d'urgence ?,N/A
À propos de la COVID-19,Règle du gouvernement à suivre,N/A
Transports et déplacements,Quelle est la procédure si je dois me rendre aux Iles-de-la-Madelaine?,N/A
"Consignes d’isolement, symptômes et traitements","J'ai plus de 70 ans, est-ce que je suis à risque d'être hospitalisé à cause du virus?",N/A
"Sports, loisirs et culture",télévisuel,N/A
"Commerces, lieux publics et services prioritaires",Qu’en est-il des travailleurs qui peuvent faire du télétravail?,N/A
"Sports, loisirs et culture",pourvoiries,N/A
"Sports, loisirs et culture",Règlements pourvoirie,N/A
À propos de la COVID-19,Quel âge ont les gens qui décèdent de la covid?,N/A
"Consignes d’isolement, symptômes et traitements",Je fais quoi pour me mettre en isolement,N/A
"Commerces, lieux publics et services prioritaires",Je peux tu goûter les aliments au marché public?,N/A
Transports et déplacements,Est-ce que les haltes routières sont ouvertes?,N/A
"Consignes d’isolement, symptômes et traitements",est-ce que je peux voir ma blonde,N/A
Transports et déplacements,Est-ce que je vais me faire rembourser mon voyage en cas d'annulation ?,N/A
À propos de la COVID-19,Est-ce que la covid est reliée au 5G?,N/A
"Consignes d’isolement, symptômes et traitements",Où dois-je appeler pour dénoncer un rassemblement ?,N/A
Services de santé,Cours préposé,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller voir mon massothérapeute?,N/A
Services de santé,C'est tu correct d'apporter de la nourriture pour quelqu'un à l'hôpital?,N/A
"Sports, loisirs et culture",Quand les terrains de camping pourront-ils rouvrir?,N/A
Services de santé,Ma grand-mère va mourrir seule si je ne peux pas aller la voir,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je dois laver les colis que je reçois par la poste?,N/A
Municipalités,Quelle option ont les municipalités ayant adopté une politique de participation publique pour consulter leur monde?,N/A
Famille et habitation,est-ce que mes enfants peuvent aller voir leur père?,N/A
À propos de la COVID-19,Pourcentage de cas confirmés par groupe d’âge,N/A
Transports et déplacements,Quand ouvrira la saaq?,N/A
"Sports, loisirs et culture",Est-ce que je peux aller courir dans un parc de la sépaq?,N/A
Transports et déplacements,Puis-je aller en Ontario au mois d'Août?,N/A
Famille et habitation,est-ce qu'un chat qui est infecté par la covid-19 peut infecter son maître qui le flatte?,N/A
À propos de la COVID-19,Je cherche une liste des mesures prises par le gouvernement,N/A
"Consignes d’isolement, symptômes et traitements",Qui doit être testé prioritairement pour la COVID-19?,N/A
Services de santé,foyers de vieux,N/A
Services de santé,Est-il possible d'aller porter de la nourriture ou des biens essentiels à des personnes agées qui habitent encore dans leur maison?,N/A
À propos de la COVID-19,humain,N/A
"Commerces, lieux publics et services prioritaires","Je dois me rendre à la quincaillerie, est-ce qu'elle sera ouverte?",N/A
"Commerces, lieux publics et services prioritaires",Quand ouverture centres commerciaux à Montréal,N/A
"Sports, loisirs et culture",C'est quoi les réglements de chasse et pêche durant le COVID-19,N/A
"Consignes d’isolement, symptômes et traitements",quels sont les gestes pour minimiser les risques de transmettre le covid à une personne vulnérable habitant au domicile?,N/A
À propos de la COVID-19,Je vais tu mourir du coronavirus,N/A
Services de santé,Est-ce que les visites dans les milieux de vie hospitaliers et pour personnes vulnérables sont autorisées?,N/A
Programmes d'aide et revenues,Arrêt du Programme d’aide temporaire aux travailleurs.,N/A
Transports et déplacements,Avis de renouvellement de permis de conduire,N/A
"Commerces, lieux publics et services prioritaires",Coiffeuse dans les résidences pour ainées?,N/A
À propos de la COVID-19,Nombre de cas confirmés par région,N/A
Transports et déplacements,Est-il autorisé de se déplacer en voiture avec des personnes qui ne viennent pas du même ménage?,N/A
"Consignes d’isolement, symptômes et traitements",Mesures pour personnes transplantées,N/A
Transports et déplacements,J’ai des symptômes de la COVID-19. Puis-je prendre les transports en commun ou le taxi?,N/A
Transports et déplacements,Est-il possible d'attraper le covid-19 dans un taxi ?,N/A
"Consignes d’isolement, symptômes et traitements",Que faire pour diminuer les risques de propagation des virus?,N/A
"Sports, loisirs et culture",pourvoiries,N/A
"Sports, loisirs et culture",À quel moment les terrains de camping pourront-ils ouvrir?,N/A
"Consignes d’isolement, symptômes et traitements",Où peut-on se faire tester?,N/A
"Commerces, lieux publics et services prioritaires",Centres commerciaux de Montréal: y'a-t-il une date de réouverture?,N/A
"Sports, loisirs et culture",vignoble,N/A
Famille et habitation,Pourquoi mon hôtel doit être fermé jusqu'au 13 avril ?,N/A
Programmes d'aide et revenues,Les formulaires PATT vont être en français?,N/A
"Consignes d’isolement, symptômes et traitements",Où sont les centres de prélèvements pour les tests de dépistage?,N/A
À propos de la COVID-19,Est-ce utile d'écouter la radio ou la télévision et lisez les journaux pour avoir des informations officielles ?,N/A
Transports et déplacements,"Mon voyage est déjà acheté, est-ce que je dois l'annuler par avance ?",N/A
"Sports, loisirs et culture",Est-ce que je peux aller chasser?,N/A
Municipalités,Accès aux équipements collectifs d’une municipalité,N/A
Services de santé,Puis-je aller voir ma grand-mère mourrante ?,N/A
À propos de la COVID-19,Quels sont les modes d'infections du coronavirus?,N/A
Offrir son aide,comment je peux aider l'économie québequoise,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez l'osthéopathe?,N/A
Services de santé,Mon père a la COVID et va mourir je peux tu aller le voir ?,N/A
Transports et déplacements,Est-ce que les trains et les avions sont sécuritaires pendant la pandémie ?,N/A
"Commerces, lieux publics et services prioritaires",Les entreprises de services funéraires et cimetières sont-elels toujours en opération?,N/A
"Consignes d’isolement, symptômes et traitements",J'ai un symptôme,N/A
À propos de la COVID-19,Est-ce que la covid est reliée au 5G?,N/A
Famille et habitation,Est-ce qu'on peut aller visiter le logement d'une personne en isolement?,N/A
Transports et déplacements,covoiturage,N/A
Entreprises et main d'oeuvre,Est-ce que les centres d'horticulture ont le droit de vendre et livrer leur produits?,N/A
"Commerces, lieux publics et services prioritaires",Quand aura lieu l'ouverture des restaurants et terrasses?,N/A
"Sports, loisirs et culture","Pour une piscine privée extérieure en condo, est-ce qu'on peut installer des chaises longues?",N/A
Services de santé,Est-ce que je peux aller porter de la bouffe à mon grand père qui est une personne à risque?,N/A
Famille et habitation,Les bed-and-breakfast sont-ils ouverts?,N/A
Entreprises et main d'oeuvre,"Est-ce que je peux passer ma commande au centre de jardinage en ligne ou par téléphone, puis passer chercher ma commande?",N/A
"Commerces, lieux publics et services prioritaires",Comment va se passer l'ouverture des commerce,N/A
"Consignes d’isolement, symptômes et traitements",Lavage des fruits et légumes pendant la pandémie.,N/A
Services de santé,Le nouveau programme en 3 mois,N/A
À propos de la COVID-19,Comment soulager les symptômes?,N/A
"Sports, loisirs et culture","Je reste à la maison, mais est-ce que je peux prendre une marche pendant la pandémie?",N/A
Transports et déplacements,Quelles sont les mesures supplémentaires qui sont prises pour rendre les autobus plus propres ?,N/A
"Consignes d’isolement, symptômes et traitements",Pourquoi on ne teste pas tout le monde?,N/A
"Consignes d’isolement, symptômes et traitements",Dois-je laver tous mes achats d'épicerie avant de les ranger pour éviter de tomber malade?,N/A
"Sports, loisirs et culture",Marcher dans mon quartier,N/A
"Consignes d’isolement, symptômes et traitements",Quoi faire pour éviter d'attraper la COVID-19 pendant que je fais mon épicerie?,N/A
"Consignes d’isolement, symptômes et traitements",Je peux tu attraper le virus sur une pognée de porte,N/A
"Commerces, lieux publics et services prioritaires",Je peux tu aller magasiner en ville?,N/A
Transports et déplacements,Je ne possède pas de voiture. Comment faire pour me rendre à mon travail sans me faire infecter ?,N/A
"Consignes d’isolement, symptômes et traitements","je veux organiser une soirée mais nous respecterons la distanciation, est-ce ok?",N/A
Transports et déplacements,Alberta,N/A
Services de santé,Ma mère est à veille de mourir elle vient de rentrer à l'hôpital j'ai tu le droit d'aller le voir ?,N/A
Entreprises et main d'oeuvre,Mes produits sont vendus dans les marchés publics et je respecte les consignes d'hygiène,N/A
Transports et déplacements,"Si une personne vient de Calgary, doit-elle faire une quarantaine?",N/A
Transports et déplacements,Passer par le Nouveau-Brunswick?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez l'optométriste?,N/A
"Sports, loisirs et culture",Est-ce possible d'ouvrir une piscine extérieure dans un immeuble à plusieurs logements?,N/A
"Consignes d’isolement, symptômes et traitements",Comment distinguer allergies saisonnières et covid?,N/A
"Sports, loisirs et culture",Camping,N/A
"Commerces, lieux publics et services prioritaires","Si un client tousse et présente des symptômes, devrais-je lui dire de quitter l'épicerie?",N/A
