Question,Bot
Tourisme - loisir - culture - sport,Quelle distance faudra respecter entre personnes?,plop
Tourisme - loisir - culture - sport,"Des occupants viennent de quitter ma résidence de tourisme. Quelles sont les mesures préventives à prendre afin de nous protéger, ma famille et moi, de la COVID-19?",plop
Tourisme - loisir - culture - sport,Le confinement demandé par le gouvernement a-t-il une incidence sur le fonctionnement et les services du ministère du Tourisme ?,plop
Tourisme - loisir - culture - sport,Les centres de plein air sont-ils ouvert?,plop
Tourisme - loisir - culture - sport,À qui doivent s’adresser les propriétaires hôteliers qui souhaitent offrir leurs services pour accueillir des personnes dans le besoin?,plop
Tourisme - loisir - culture - sport,Les demandes d’aide financière déposées auprès du Ministère seront-elles traitées selon les délais habituels?,plop
Tourisme - loisir - culture - sport,puis-je faire du vélo?,plop
Tourisme - loisir - culture - sport,Je cherche les mesures préventives pour ma maison que je loue,plop
Tourisme - loisir - culture - sport,Est-ce que les employés du ministère du Tourisme travaillent actuellement ?,plop
Tourisme - loisir - culture - sport,Est-ce que les rassemblements qu'ils soit intérieurs ou extérieurs sont interdits?,plop
Tourisme - loisir - culture - sport,Les Assises du tourisme 2020 seront elles aussi reportées ?,plop
Tourisme - loisir - culture - sport,"Des touristes viennent de quitter, je fais quoi avec mon airbnb?",plop
Tourisme - loisir - culture - sport,"Si je suis un campeur saisonnier, est-ce que je peux me rendre sur les terrains de camping?",plop
Tourisme - loisir - culture - sport,Est-ce qu'on peut utliser des fax pour envoyer des papiers au Ministère du Tourisme?,plop
Tourisme - loisir - culture - sport,J'ai loué un chalet pour me réfugier en paix pendant la crise. Vais-je pouvoir y aller ?,plop
Tourisme - loisir - culture - sport,Est-ce qu'il y a encore moyen d'envoyer des documents à un employé du ministère du Tourisme? Comment on fait ?,plop
Tourisme - loisir - culture - sport,"Est-ce que les propriétaires d’établissement d’hébergement touristique (résidences de tourisme, gîtes, auberges de jeunesse, etc.) auront droit à une aide financière pour compenser les pertes de location?",plop
Tourisme - loisir - culture - sport,Les piscines munipales vont-elles être ouvertes cet été?,plop
Tourisme - loisir - culture - sport,Est-ce que la fermeture des établissements d’hébergement touristique par le gouvernement québécois est justifiée ?,plop
Tourisme - loisir - culture - sport,Je fais quoi avec le chalet que j'ai loué pour le début avril ?,plop
Tourisme - loisir - culture - sport,"Je suis un snowbird qui revient de voyage en motorisé, qu'est-ce que je fais?",plop
Tourisme - loisir - culture - sport,Quelles répercussions les directives de santé et de sécurité en lien avec la COVID-19 ont-elles sur le fonctionnement et les services du ministère du Tourisme?,plop
Tourisme - loisir - culture - sport,Est-ce que les Bed & Breakfast sont fermés?,plop
Tourisme - loisir - culture - sport,"Je suis propritétaire d'un gîte, est-ce que je peux héberger des voyageurs qui doivent se mettre en quarantaine?",plop
Tourisme - loisir - culture - sport,Est-ce que les exploitants touchés par la crise actuelle peuvent vérifier auprès de leur établissement financier s’ils sont admissibles à certains assouplissements?,plop
Employeurs - travailleurs - normes du travail,Puis-je avoir recours aux services de personnes ou de proches pour divers types de travaux à domicile?,plop
Employeurs - travailleurs - normes du travail,"Si j'ai plus de 70 ans, est-ce que je devrais travailler ?",plop
Employeurs - travailleurs - normes du travail,Je suis disponible pour travailler dans une entreprise agricole ou de transformation alimentaire. Où puis-je m’adresser pour offrir mes services?,plop
Employeurs - travailleurs - normes du travail,Mon employeur fait rien pour me protéger ya tu le droit,plop
Employeurs - travailleurs - normes du travail,Mon employeur peut-il me congédier si je ne souhaite pas aller travailler dans un endroit à risque?,plop
Employeurs - travailleurs - normes du travail,Si je suis fonctionnaire je peux tu faire du télétravail?,plop
Employeurs - travailleurs - normes du travail,Je travaille dans le secteur privé et je dois me placer en isolement. Est-ce que mon employeur peut me congédier?,plop
Employeurs - travailleurs - normes du travail,Est-ce que mon employeur va prendre des mesures pour nous protéger,plop
Employeurs - travailleurs - normes du travail,"21. En isolement ou en télétravail, pouvez-vous utiliser vos équipements technologiques personnels ?",plop
Employeurs - travailleurs - normes du travail,Directives pour le personnel de la fonction publique.,plop
Employeurs - travailleurs - normes du travail,Quels sont les travailleurs ayant froit aux services essentiels ?,plop
Employeurs - travailleurs - normes du travail,Quel est le montant maximal de prêt que mon entreprise doit avoir afin d'être admissible à l'exemption des intérêts du PPA ?,plop
Employeurs - travailleurs - normes du travail,"Fonctionnaire de Québec, est-ce qu'il y a des conditions pour le code d'absence dans sagir?",plop
Employeurs - travailleurs - normes du travail,Je travaille pour un employeur privé et je dois rester en isolement volontaire à la maison. Mon employeur peut-il me donner mon 4 % ?,plop
Employeurs - travailleurs - normes du travail,"Je travaille pour l'état Québécois et je dois m'absenter pour assurer la sécurité de mes enfants, est-ce pris charge ?",plop
Employeurs - travailleurs - normes du travail,Quelles sont les mesures qui peuvent être appliquées si les entreprises non-essentielles ne respectent pas les règles de fermeture?,plop
Employeurs - travailleurs - normes du travail,Ce serais-tu mieux que j'aille pas au travail si j'ai des symptomes?,plop
Employeurs - travailleurs - normes du travail,Personnel de la fonction publique Québécoise et suivi des absences dans SAGIR.,plop
Employeurs - travailleurs - normes du travail,Dans mon milieu de travail qu'est-ce que je dois faire pour me protéger de la COVID ?,plop
Employeurs - travailleurs - normes du travail,C'est le même code d'absence pour tous les employés de l'état Québécois?,plop
Employeurs - travailleurs - normes du travail,Est-ce que je peux manquer du travail pour maladie ?,plop
Employeurs - travailleurs - normes du travail,Est-ce qu’un employé âgé de 70 ans devrait continuer de travailler ?,plop
Employeurs - travailleurs - normes du travail,Mon employeur est une entreprise privée. Est-ce que je peux être renvoyé parce que je dois rester en isolement volontaire?,plop
Employeurs - travailleurs - normes du travail,Travailleurs donnant des services de soutien à domicile dans le cadre de l’allocation directe/chèque emploi-service.,plop
Employeurs - travailleurs - normes du travail,Doit-on faire du télétravail quand on travail pour le gouvernement québécois?,plop
autochtones,Est-ce que les Inuits vont recevoir des tests pour détecter le virus?,plop
autochtones,Est-ce qu'il y a de l'information destinée aux communautés autochtones résumant les principales consignes et mesures gouvernementales?,plop
autochtones,"Liste des ressources pour les communautés autochnones, Premières Nations et les Inuits.",plop
autochtones,Est-ce qu'il y a partage d'information entre le gouvernement et les autochtones?,plop
autochtones,Ma communauté autochtone va-t-elle recevoir des tests,plop
autochtones,Est-ce que le gouvernement se soucie des communautés autochtones pendant la pandémie ?,plop
autochtones,Est-ce que le gouvernement se soucie des communautés autochtones pendant la pandémie ?,plop
autochtones,Est-ce que les communautés autochtones reçoivent les consignes du gouvernement ?,plop
autochtones,À qui je m'adresse si je suis un autochtone habitant en milieu urbain?,plop
autochtones,"Puis-je avoir de l'information dédiée Premières Nations, communauté autochtones ou Inuits pendant l'épidémie de virus?",plop
autochtones,Comment est transmis l'information à la population Inuits?,plop
autochtones,Je veux connaître les organismes disponibles pour les Premières Nations et les inuits svp ?,plop
autochtones,Qu’en est-il des Autochtones qui vivent à l’extérieur de leurs communautés?,plop
autochtones,Y a-t-il des échanges réguliers avec les communautés autochtones et si oui de quelle façon ?,plop
autochtones,Comment s'organise la coordination entre les Premières nations et les gouvernements québécois et canadien?,plop
autochtones,"Je suis un amérindien et j'habite en dehors de ma réserve, quelle est la marche à suivre à propos du COVID-19 ?",plop
autochtones,"Est-ce qu’une attention particulière est portée à l’égard des communautés autochtones, et comment se déroulent les échanges avec celles-ci?",plop
autochtones,Est-ce qu'il y a partage d'information entre le gouvernement et les autochtones?,plop
autochtones,"Si j'habite hors de ma communauté Inu, est-ce qu'il y a des mesures particulières à suivre ?",plop
autochtones,Consignes pour autochtones en milieu urbain.,plop
autochtones,Liste des notes d’information à l’intention des communautés autochtones.,plop
autochtones,Comment s'organise la coordination entre les Premières nations et les gouvernements québécois et canadien?,plop
autochtones,Y a-t-il des échanges réguliers avec les communautés autochtones et si oui de quelle façon ?,plop
autochtones,Est-ce que les communautés autochtones reçoivent les consignes du gouvernement ?,plop
autochtones,"Est-ce qu’une attention particulière est portée à l’égard des communautés autochtones, et comment se déroulent les échanges avec celles-ci?",plop
Programmes d'aide,Est-ce que mon entreprise est admissible au programme d'aide financière?,plop
Programmes d'aide,"je n'ai pas droit à l'assurance emploi, que faire?",plop
Programmes d'aide,Comment je fais une demande d'aide pour les PME ?,plop
Programmes d'aide,Je suis admissible au Programme d’aide temporaire aux travailleurs. Quand vais-je recevoir mon versement?,plop
Programmes d'aide,"Après la période de six mois, est-ce que mes paiements mensuels de remboursement de prêts et bourses vont changer?",plop
Programmes d'aide,Quelles sont les raison du gouvernement Québecois d'arrêter le Programme d’aide temporaire aux travailleurs (PATT)?,plop
Programmes d'aide,quels sont les délais pour obtenir du chômage?,plop
Programmes d'aide,Est-ce que j'ai droit au Fonds local d'investissement?,plop
Programmes d'aide,C'est quoi les programmes disponibles pour aider les travailleurs et les entreprises à passer la pandémie ?,plop
Programmes d'aide,programme d'aide temporaire aux travailleurs COVID-19,plop
Programmes d'aide,Ai-je droit à la Prestation canadienne d'urgence (PCU) si j’ai déjà l'aide du Programme d’aide temporaire aux travailleurs (PATT COVID-19)?,plop
Programmes d'aide,Je rembourse actuellement mon prêt directement au Ministère de l'Éducation et de l'Enseignement supérieur. Est-ce que cette annonce s’applique à moi?,plop
Programmes d'aide,"Pour aider les entreprises et les employés à passer la crise du COVID-19, quels moyens sont mis en place ?",plop
Programmes d'aide,Quelles sont les nouvelles modalités applicables au Programme  de remboursement différé?,plop
Programmes d'aide,L'aide financière PATT COVID-19 est-elle imposable?,plop
Programmes d'aide,Quelles sont les informations à savoir sur la décision rendue en vertu du PATT COVID-19 ?,plop
Programmes d'aide,"Je ne reçoit aucun revenu car mon entreprise est fermée à cause du corona, mais j'ai toujours un emploi. suis-je admissible à une aide de l'état?",plop
Programmes d'aide,Soutien aux entreprises du secteur du tourisme.,plop
Programmes d'aide,Est-ce que les travailleurs autonomes ont tous droit au programme d'aide PATT du gouvernement Québécois?,plop
Programmes d'aide,Quelles sont les mesures mises en place par le Gouvernement du Québec pour soutenir les entreprises et les travailleurs pendant la crise du COVID-19?,plop
Programmes d'aide,je suis étudiant et j'ai droit au Programme de remboursement différé,plop
Programmes d'aide,Quelle forme prendra l'aide accordée aux entreprises?,plop
Programmes d'aide,"Mon patron m'a mis à pied à cause de la covid, est-ce que je peux avoir de l'aide?",plop
Programmes d'aide,Qu'est-ce que le ministère du Tourisme a mis en place pour aider financièrement les établissements ?,plop
Programmes d'aide,"Je suis un travailleur qui a perdu son emploi, comment je fais pour avoir de l'aide financière?",plop
Famille,"Mon milieu familial étant contaminé à la COVID-19, que dois-je faire pour la garde partagée de mon enfant ?",plop
Famille,Le policier ne me laisse pas passer avec mon enfant en garde partagée,plop
Famille,J'ai peur car je n'ai pas respecté mes droits de garde habituels,plop
Famille,Je suis inquiet car mon enfant doit changer de région pour la garde partagée,plop
Famille,Puis-je ramener à la maison un parent en CHSLD?,plop
Famille,Mon enfant ne veut pas changer de région alors qu'il doit se rendre chez son autre parent,plop
Famille,À qui je peux m'adresser si je veux demander de l'aide d'un médiateur pour prendre entente avec mon ex-conjoint sur la garde de notre enfant ?,plop
Famille,Que puis-je faire s’il est impossible de m’entendre avec mon ex?,plop
Famille,Est-ce que les femmes enceintes peuvent être accompagnées lors de leur accouchement?,plop
Famille,Le policier ne me laisse pas passer avec mon enfant en garde partagée,plop
Famille,Nous avons une garde partagée qui implique plusieurs changements de milieu familial. Devons-nous continuer de la même façon ?,plop
Famille,J’ai 70 ans. J’aimerais garder mes petits-enfants qui ont des parents qui travaillent dans le réseau de la santé et des services sociaux ou pour un service essentiel. Que dois-je faire?,plop
Famille,Je suis inquiet car mon enfant doit changer de région pour la garde partagée,plop
Famille,"Nous habitons dans deux régions différentes, devons-nous effectuer le changement de garde?",plop
Famille,Sous quelles conditions puis-je aller chercher un parent dans un CHSLD pour l'amener chez moi?,plop
Famille,J'ai besoin d'aide. Mon ex ne suit plus les directives sur la garde de notre enfant,plop
Famille,Localisateur de service d'urgence de garde éducatif à l'enfance pour les parents.,plop
Famille,Comment gérer les risques de transmission de la COVID-19 liés au changement de garde de mon enfant?,plop
Famille,Garder les petits-enfants par le grand-père ou la grand-mère.,plop
Famille,Quels sites peuvent me donner de l'information sur le droit familial?,plop
Famille,J'ai peur car je n'ai pas respecté mes droits de garde habituels,plop
Famille,Mon enfant ne veut pas changer de région alors qu'il doit se rendre chez son autre parent,plop
Famille,Comment obtenir des conseils juridiques liés à ma situation particulière?,plop
Famille,Mon enfant ne veut pas changer de région alors qu'il doit se rendre chez son autre parent,plop
Famille,Est-ce qu'une personne de 70 ans ou plus devrait garder ses petits-enfants?,plop
Consommateurs - Nourriture - Animaux,Est-ce qu'il faut soutenir les producteurs locaux?,plop
Consommateurs - Nourriture - Animaux,"Si je suis incapable de faire le transfert de mon animal, qui pourra le faire?",plop
Consommateurs - Nourriture - Animaux,"Si mon animal domestique a des malaises, puis-je me présenter directement chez le vétérinaire?",plop
Consommateurs - Nourriture - Animaux,Je suis producteur maraîcher. Qu'est-ce que je fais avec ma production de légumes si un de mes gars est contaminé ?,plop
Consommateurs - Nourriture - Animaux,La nourriture est-elle une source ou une voie probable de transmission de la COVID-19?,plop
Consommateurs - Nourriture - Animaux,"Si une personne contaminée partage sa bouffe, est-ce les autres personnes vont l'attraper en la mangeant ?",plop
Consommateurs - Nourriture - Animaux,Est-ce possible que les épiceries ne soit plus approvisionnées?,plop
Consommateurs - Nourriture - Animaux,Contamination au COVID par la nourriture.,plop
Consommateurs - Nourriture - Animaux,Est-ce que les exploitants de commerce de détail ont mis en place plusieurs mesures d'hygiène?,plop
Consommateurs - Nourriture - Animaux,"Étant responsable d'animaux, l’abandon ou l’euthanasie ne sont pas justifiés, quels services dois-je offrir?",plop
Consommateurs - Nourriture - Animaux,Est-ce qu'un animal peut attraper le coronavirus et me le transmettre​?,plop
Consommateurs - Nourriture - Animaux,Est-ce que je peux me faire contaminer àa la COVID avec de la nourriture à emporter?,plop
