Question,Bot
À propos de la COVID-19,C'est quoi les probabilités de mourir du COVID-19?,N/A
À propos de la COVID-19,Puis-je connaître le pourcentage de cas confirmés de COVID-19 par groupe d’âge au Québec ?,N/A
Famille et habitation,Est-ce qu'un ami peut m'aider à déménager?,N/A
"Sports, loisirs et culture",Pouvons-nous ouvrir les piscines intérieures de copropriétés?,N/A
"Commerces, lieux publics et services prioritaires",Comment savoir si mon emploi est prioritaire?,N/A
Écoles et éducation,Sous quelles conditions est-ce que les stages de formation sont maintenus?,N/A
"Commerces, lieux publics et services prioritaires",les kiosques de ventes en libre-service sont-ils ouverts?,N/A
Transports et déplacements,covoiturage,N/A
Offrir son aide,En quoi puis-je aider pendant le confinement?,N/A
"Sports, loisirs et culture","Centres de conditionnement physique et d’entraînement intérieurs (ex. : entraînement en salle, yoga, cardiovélo, tennis, soccer, etc.)",N/A
"Consignes d’isolement, symptômes et traitements",Est-ce qu'un foulard est suffisant pour se protéger du coronavirus?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID-19 meurt au micro-onde?,N/A
Services de santé,Depuis quand les visites non essentielles dans les établissements de soins aux aînés sont interdites ?,N/A
"Consignes d’isolement, symptômes et traitements",Dois-je prendre des mesures particulières dans un lieu public?,N/A
"Consignes d’isolement, symptômes et traitements",Comment assurer la propreté de mon environnement?,N/A
"Sports, loisirs et culture",Peut-on être deux dans une roulotte?,N/A
"Consignes d’isolement, symptômes et traitements",Comment désinfecter une maison après une visite?,N/A
"Consignes d’isolement, symptômes et traitements",Qu'impose le gouvernement Canadien dans la Loi sur la mise en quarantaine par le gouvernement du Canada?,N/A
À propos de la COVID-19,écouter le point de presse,N/A
Transports et déplacements,Est-il possible d'utiliser l'autobus?,N/A
Transports et déplacements,Est-ce que le covoiturage est permis?,N/A
Transports et déplacements,Les services postaux sont toujours actifs?,N/A
Services de santé,Ma mère va mourir elle est à l'hôpital dans une région à accès restreint. C'est tu possible d'aller la voir ?,N/A
"Sports, loisirs et culture",Louer en entier une unité familiale à deux soeurs qui n'ont pas la même adresse,N/A
Transports et déplacements,Les taxis sont-ils des services essentiels ?,N/A
Transports et déplacements,Est-il autorisé de se déplacer en voiture avec des personnes qui ne viennent pas du même ménage?,N/A
Services de santé,C'est tu grave d'aller porter de la bouffe à nos parents s'ils sont encore dans leur maison,N/A
À propos de la COVID-19,mourir du covid-19,N/A
Famille et habitation,Quelles sont les bonnes pratiques sanitaires à mettre en place lors d’un déménagement?,N/A
Services de santé,J'ai un parent qui va mourir et qui habite dans une autre région que la mienne. Ils viennent de fermer sa région est-ce que je peux y aller quand même ?,N/A
Famille et habitation,"Est-ce que je peux engager, chez moi,  une personne qui offre un service essentiel et dont le soutien est requis?",N/A
Municipalités,Est-ce que tous les projets des municipalités ayant adopté une politique de participation publique peuvent utiliser le processus de transmission de commentaires écrits?,N/A
Services de santé,Pour qui le confinement est obligatoire dans les ressources d'hébergement ?,N/A
À propos de la COVID-19,Liste du nombre de cas confirmés de coronavirus par région au Québec.,N/A
"Consignes d’isolement, symptômes et traitements",Où est-ce que je peux aller me faire tester pour la covid?,N/A
Famille et habitation,Est-ce que l'entretien ménager résidentiel est permis?,N/A
Soutien aux personnes,Les employés de 70 ans et plus peuvent-ils aller travailler?,N/A
Municipalités,Les citoyens ont-ils des moyens pour s'opposer à des demandes de dérogation mineure ou d'usage conditionnel ?,N/A
"Sports, loisirs et culture",Ouverture des zec,N/A
