Question,Golden reponse
est ce que je peux faire du covoiturage,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.71
Des consignes sanitaires pour tous,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.408
quel date quon va recevoir le montant pour nous aider,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.179
bonjour  pourquoi dans les marchés aux puces il y a aucun affiche pour la distensiation et aucun produit désinfectant pour les mains y a t'il des règle différentes pour ce genre de commerce?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.262
quand les écoles vont réouvrir,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.468
que faire pour ne pas l'attraper?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.389
Est-ce que je peux déménager?,"Les régions et territoires visés sont les suivants :
*   Nord-du-Québec.
*   Gaspésie-Îles-de-la-Madeleine.
*   Nunavik.
*   Terres-Cries-de-la-Baie-James.
Le 29 avril, le gouvernement a annoncé un plan de réouverture des régions qui se fera de manière graduelle et qui s’étalera sur plusieurs semaines.
**À partir du 31 mai**, l’accès sera permis dans :
*   la région sociosanitaire de la Côte-Nord, sauf pour les MRC de la Minganie et du Golfe-du-Saint-Laurent (Basse Côte-Nord).
Un plan de réouver [...]",1
De quelles manières les producteurs peuvent-ils vendre leurs végétaux tout en respectant les directives de santé publique?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.784
je voudrais appeler un centre d'aide!,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.409
lieux de culte,"Concernant les **lieux de cultes**, tous les rassemblements religieux de quelque confession que ce soit devront idéalement être suspendus, à moins d'être essentiels. Dans ce cas, la distanciation physique devra être observée.",0.548
Activités et services commerciaux prioritaires,"En cas de nécessité. Cependant, dans la mesure du possible, il est préférable d’éviter de les amener à l’intérieur des commerces.",1
réunion conseil administration ,"Oui, il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_m [...]",0.542
est-ce que c'est dangereux d'aller faire l'épicerie,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.206
Les lieux publics,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",0.585
est-ce que je peux louer motel ma maison n'est pas prête pour le 29 mai,"*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",0.405
est-ce que une personne par exemple peut aller visiter un ami à son domicile,Oui. Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.226
Je crois avoir attrappé le coronavirus. Que dois-je faire ?,"Les principaux symptômes de la COVID‑19 sont les suivants :
*   fièvre :
    *   chez l’enfant : 38 °C (100,4 °F) et plus (température rectale),
    *   chez l’adulte : 38 °C (100,4 °F) et plus (température buccale),
    *   chez la personne aînée : 37,8 °C (100 °F) et plus (température buccale),
    *   ou 1,1 °C de plus que la valeur habituelle d’une personne;
*   apparition ou aggravation d’une toux;
*   difficultés respiratoires;
*   chez l’enfant : 38 °C (100,4 °F) et plus (température rect [...]",1
statistiques sur la covid ?,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",0.675
comment ça va,Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,1
Quels sont les emplois visés par les services essentiels?,Consultez la [liste des services et activités prioritaires](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/fermeture-endroits-publics-commerces-services-covid19/).,1
"bonjour, quelle est la procédure à suivre en la présence d'une personne qui ressent les symptômes en milieu de travail manufacturier","Pour outiller les secteurs offrant des services et activités prioritaires dans la mise en place de mesures de prévention, l’Institut national de santé publique du Québec (INSPQ) a produit différentes recommandations intérimaires. Celles-ci présentent des mesures à appliquer afin de protéger la santé de ceux qui fréquentent ces milieux de travail. Ces documents sont disponibles [sur le site de l’INSPQ](http://www.inspq.qc.ca/covid-19/sante-au-travail) .
Des outils à l’attention des établissements [...]",0.255
puis-je jouer au golf&,"Dans la foulée de l’évolution épidémiologique de la COVID-19, il a été annoncé par le premier ministre du Québec, M. François Legault, que tous les lieux publics de loisirs et de sports doivent fermer. Voici donc des précisions liées à la fermeture de ces lieux. À noter que cette liste est non exhaustive et pourra évoluer.
Exemples de lieux visés :
*   Stations de ski
*   Centres de conditionnement physique et d’entraînement intérieurs (ex. : entraînement en salle, yoga, cardiovélo, tennis, socc [...]",0.625
puis-je faire un feu à l’extérieur avec des amis si nous respectons la distanciation ? ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.601
combien de personnes peuvent se regrouper,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.158
ca semble impossible de faire immatriculé son véhicule auprès de la saaq..peut on l'utîiser dans l'attente que le service revienne..,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.309
travail,"Les employeurs sont invités à faire preuve de souplesse dans les horaires de travail de leur personnel, de façon, par exemple, à limiter les foules présentes dans le transport en commun aux heures de pointe.
Dans l’objectif d’éviter d’engorger les hôpitaux, le gouvernement du Québec demande aux employeurs de ne pas demander de billets de médecin à leur personnel devant se placer en isolement.
Lorsque possible, les employeurs sont également invités à favoriser le télétravail.",0.884
session en ligne automne 2020,"Une transcription intégrale des conférences et points de presse tenus dans les édifices de l’Assemblée nationale est disponible.
[Consulter les transcriptions sur le site de l'Assemblée nationale](http://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/)",0.196
Changements aux horaires des services prioritaires,"Ces changements sont en vigueur et seront réévalués au 31 mai 2020. Le gouvernement du Québec invite la population à rester à l’affût.
Les pharmacies, les épiceries et les autres commerces d’alimentation ainsi que les établissements offrant des services d’épicerie ou de pharmacie en dehors des centres commerciaux pourront continuer d’étendre leurs heures d’ouverture au-delà des périodes légales du lundi au samedi jusqu’au 31 mai 2020. Aucune restriction quant au nombre d’employés présents pour a [...]",0.885
groupe de plus de deux personnes,"Le risque de complications graves pour les personnes atteintes de la COVID‑19 augmente avec l’âge, mais il est présent même chez les jeunes adultes. Le risque de décès à la suite de complications respiratoires graves (pneumonie ou syndrome respiratoire aigu) dues à la COVID‑19 est particulièrement élevé chez :
*   les personnes âgées de 70 ans et plus;
*   les personnes ayant un système immunitaire affaibli;
*   les personnes atteintes de maladies chroniques telles que :
    *   le diabète;
    [...]",0.281
je désire avoir de l'information sur les rassemblements extérieurs. combien de personnes peuvent se réunir dans une cour extérieur sans avoir de contravention? merci!,"Il est demandé aux citoyens de ne pas composer le 911 pour dénoncer un rassemblement afin d’éviter d’engorger les lignes téléphoniques des centres d'urgence 911.
Si vous êtes témoin d’une situation sérieuse qui nécessite une intervention policière, vous pouvez communiquer avec le [service de police qui dessert votre territoire](https://www.securitepublique.gouv.qc.ca/police/bottin.html) .
La sensibilisation et l’information sont les approches privilégiées par l’ensemble des corps policiers au Qu [...]",0.364
Des consignes sanitaires pour tous,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.535
je pense être atteint de la covid-19. que dois-je faire ?,"Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.406
"j'ai des symptômes, je dois appeler quel numéro","Les principaux symptômes de la COVID‑19 sont les suivants :
*   fièvre :
    *   chez l’enfant : 38 °C (100,4 °F) et plus (température rectale),
    *   chez l’adulte : 38 °C (100,4 °F) et plus (température buccale),
    *   chez la personne aînée : 37,8 °C (100 °F) et plus (température buccale),
    *   ou 1,1 °C de plus que la valeur habituelle d’une personne;
*   apparition ou aggravation d’une toux;
*   difficultés respiratoires;
*   chez l’enfant : 38 °C (100,4 °F) et plus (température rect [...]",0.258
"Est-ce que les visites dans les hôpitaux, les CHSLD, les ressources intermédiaires, les ressources de type familial pour les aînés et les adultes vulnérables ainsi que dans les résidences privées pour aînés sont permises?","80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",1
secteur loisir,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",1
combien de passagers dans une voiture,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.983
ménage résidentiel ,#!builtin_text-bz4RRq,0.129
a quand la date ouverture des restaurant ,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.568
c'est quoi le covid,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",1
